x,y,z
-9.68403,-2.4905,0.12997
-9.13318,-2.5225,-3.19719
8.893,-2.5265,-3.812
-4.91463,-2.58652,-8.31603
3.3917,-2.60252,9.04009
7.70844,-2.62252,5.80537
9.61473,-2.64253,0.757617
-7.92662,-2.69054,-5.47081
6.85099,-2.70654,6.76303
-6.16834,-2.85857,-7.33349
4.79226,-2.87457,8.29283
-3.6624,-2.88658,8.84616
-9.52361,-2.93059,-0.84411
-2.03907,-2.97459,-9.32706
-8.97008,-3.03461,3.21385
-0.888699,-3.07462,9.47402
5.5083,-3.12262,-7.74001
3.71276,-3.17464,-8.72566
9.17935,-3.18664,-2.36326
6.47336,-3.20664,-6.9147
-3.51517,-3.24665,-8.78082
8.52235,-3.25065,4.09913
1.92858,-3.26265,9.25395
-6.1665,-3.27466,7.15897
-9.30665,-3.33867,1.49653
-6.84826,-3.35067,-6.47104
0.19223,-3.4987,-9.36601
-4.85509,-3.54671,7.99055
1.43627,-3.58272,-9.22503
-8.65131,-3.67473,-3.41338
8.68161,-3.67874,-3.33115
9.28488,-3.71074,-0.146147
-4.40332,-3.73875,-8.16288
8.76096,-3.74275,3.03931
7.17383,-3.77476,5.85554
3.60972,-3.89078,8.47536
-6.99124,-3.93479,5.96992
5.33477,-3.94279,7.48296
7.92172,-3.95079,-4.65163
-9.16548,-3.9988,0.0592091
9.02766,-4.0148,1.5436
-7.6952,-4.0188,4.96317
-9.05449,-4.08282,-1.16048
0.00768012,-4.14283,9.10148
-7.4334,-4.19884,-5.20715
-1.19381,-4.22685,8.9838
-5.18394,-4.23085,-7.43147
-2.37232,-4.31086,8.70566
-1.12723,-4.34687,-8.93499
-3.00528,-4.39888,-8.46275
1.48614,-4.41488,8.84874
3.51595,-4.68294,-8.10606
-4.87484,-4.69894,7.35907
-8.43709,-4.76295,2.47583
4.5436,-4.76695,-7.52541
8.73049,-4.77896,-0.96956
-5.78406,-4.78296,6.60818
6.83852,-4.79896,-5.49588
7.27139,-4.84297,4.86545
-8.64663,-4.84697,1.32009
8.73556,-4.86297,0.203841
0.965222,-4.87097,-8.67997
6.52133,-4.92699,5.76169
5.66208,-5.011,6.54452
-7.77611,-5.03501,3.76574
5.73655,-5.07101,-6.43248
-7.93156,-5.18304,-3.19788
-6.3416,-5.21504,-5.70854
-8.40234,-5.23505,-1.41242
8.2838,-5.27105,-1.89594
-6.91509,-5.30706,4.90068
7.52042,-5.33507,3.87044
1.50025,-5.34707,8.31613
3.2405,-5.39908,7.76847
-2.5161,-5.46309,7.98898
-3.53684,-5.46709,-7.58958
-7.05029,-5.4871,-4.49279
-0.720961,-5.4991,-8.32106
-8.34696,-5.5071,-0.00825229
7.69636,-5.54311,-3.16858
-5.88766,-5.57912,5.84883
7.88605,-5.60712,2.52396
-0.0544897,-5.65113,8.24995
4.16178,-5.69914,-7.08515
-1.13956,-5.73515,8.11231
-4.63504,-5.73915,-6.75119
-2.03611,-5.77115,-7.90873
6.45599,-5.95119,-4.78576
2.87469,-5.97119,-7.48873
-4.12732,-5.9872,6.86431
-7.9492,-5.9992,0.905391
1.19144,-6.0232,-7.89313
4.45515,-6.0272,6.62
-7.53398,-6.05121,2.57333
5.4341,-6.22324,-5.63398
-6.81827,-6.32327,3.67798
-7.05743,-6.33527,-3.1713
6.38736,-6.35127,4.34315
-5.52509,-6.36727,-5.37878
7.70393,-6.37127,0.237194
-7.53226,-6.38728,-1.57091
2.63404,-6.55131,7.08112
-5.93706,-6.59532,4.61011
-2.89836,-6.61932,-6.9126
6.97371,-6.69534,-2.55731
6.92579,-6.75935,2.51886
1.23913,-6.85537,7.17415
-5.75923,-6.85937,-4.44751
4.8824,-6.87538,5.37507
-7.22753,-6.87938,-0.661082
-1.2882,-6.88738,7.13474
-3.86492,-6.89138,-6.12954
2.51095,-6.90338,-6.78516
-4.39451,-7.0034,5.625
-0.56286,-7.0074,-7.11193
-6.64216,-7.04741,-2.49313
-3.06006,-7.05541,6.39196
5.81381,-7.10342,-3.96749
-6.97048,-7.15143,0.519135
-0.0981113,-7.15943,6.9809
1.3078,-7.17544,-6.84126
3.55536,-7.20744,-5.95082
-6.0168,-7.25545,3.34014
6.64235,-7.35547,-1.33275
4.87433,-7.37547,-4.67368
6.66147,-7.38748,1.02467
5.87645,-7.41948,3.22779
3.62963,-7.53551,5.48105
-6.21047,-7.55951,2.06975
1.51749,-7.56751,6.35846
-4.67809,-7.66353,4.40293
-6.32602,-7.67554,-1.03325
-5.55261,-7.70754,-3.12447
-3.59183,-7.71554,5.25063
-0.901016,-7.71954,-6.2926
-2.20482,-7.77155,-5.89421
-4.38341,-7.87558,-4.3314
0.770304,-7.88758,-6.09859
5.29614,-7.89958,-3.0899
-1.81327,-7.90358,5.85196
-5.08752,-7.96759,3.26108
3.97948,-8.08762,-4.33061
-0.0115592,-8.09162,5.87585
5.84141,-8.09962,0.523517
5.74543,-8.15163,-0.735515
4.79063,-8.21564,3.0908
-5.61499,-8.21964,0.953592
2.40979,-8.27566,-5.07015
3.63496,-8.38368,4.06214
-5.41841,-8.38768,-0.536333
-2.85996,-8.39968,-4.61151
2.005,-8.41568,5.0156
-0.374669,-8.5157,-5.229
-3.86479,-8.58772,-3.3637
4.21986,-8.61172,-2.8339
4.79828,-8.62372,1.61489
-2.78496,-8.64773,4.17861
0.290428,-8.80376,4.73386
-3.80903,-8.89978,2.50703
1.11516,-8.90378,-4.41351
-4.28449,-8.91178,-1.49106
4.15824,-8.91578,-1.79384
-4.37709,-8.93179,1.03164
-4.14388,-9.09982,-0.14684
2.42821,-9.15583,-3.2054
-1.00015,-9.19184,3.80917
1.18559,-9.21184,3.70626
-2.20462,-9.22384,3.17181
-0.517725,-9.22785,-3.81822
3.65154,-9.30386,-0.323108
2.45665,-9.31586,2.67947
2.8674,-9.32386,-2.20081
-1.93095,-9.33187,-3.03112
3.46177,-9.33587,0.926125
-2.63422,-9.39188,2.20307
0.839875,-9.4799,-3.07021
-2.96272,-9.4879,-1.09641
-2.53071,-9.64393,0.768191
0.538274,-9.65193,2.55939
-1.66529,-9.74795,1.48468
1.31255,-9.75595,1.76029
1.83876,-9.76395,-1.13322
-0.952,-9.77195,-1.89806
1.27196,-9.91198,0.367056
0.454607,-9.91998,-1.17781
-1.07516,-9.92799,-0.528339
-0.623144,-9.96799,0.500795
