x,y,z
-4.81275,8.52771,-2.02871
4.92529,8.5237,-1.75725
-2.4478,8.5197,4.62849
-1.32321,8.5157,-5.07266
4.40768,8.5117,2.85014
-5.18172,8.5077,0.876824
3.23253,8.5037,-4.15185
0.421484,8.4997,5.25142
-3.8628,8.4957,-3.59192
5.28105,8.4917,0.0393371
-3.92543,8.4877,3.5426
0.502106,8.4837,-5.27018
3.19358,8.4797,4.23035
-5.21869,8.4757,-0.963258
4.50418,8.47169,-2.81828
-1.41922,8.46769,5.12679
-2.41979,8.46369,-4.74453
4.99511,8.45969,1.86615
-4.94968,8.45569,2.00048
2.30116,8.45169,-4.82427
1.56379,8.44769,5.11772
-4.6155,8.44369,-2.72053
5.24718,8.43969,-1.113
-3.12095,8.43569,4.37023
-0.651517,8.43169,-5.33687
4.09018,8.42769,3.49923
-5.38592,8.42369,0.182866
3.85235,8.41968,-3.77735
-0.289373,8.41568,5.39375
-3.43401,8.41168,-4.17746
5.36012,8.40768,0.76157
-4.47194,8.40368,3.06266
1.23008,8.39968,-5.2851
2.66605,8.39568,4.73337
-5.16908,8.39168,-1.69127
4.95957,8.38768,-2.24711
-2.14155,8.38368,5.01276
-1.80899,8.37968,-5.14865
4.81717,8.37568,2.57739
-5.29897,8.37167,1.35498
2.99537,8.36767,-4.58365
0.888507,8.36367,5.40921
-4.31382,8.35967,-3.39218
5.47833,8.35567,-0.413115
-3.76466,8.35167,4.00961
0.067564,8.34767,-5.50562
3.67321,8.34367,4.10983
-5.49068,8.33967,-0.549847
4.42492,8.33567,-3.30708
-1.03002,8.33167,5.43345
-2.91391,8.32767,-4.70735
5.33418,8.32366,1.50437
-4.95481,8.31966,2.49661
1.96921,8.31566,-5.19345
2.05831,8.31166,5.16523
-5.01218,8.30766,-2.42091
5.33684,8.30366,-1.60229
-2.85594,8.29966,4.79158
-1.13199,8.29566,-5.46815
4.53299,8.29166,3.27115
-5.55796,8.28766,0.650976
3.66267,8.28366,-4.23862
0.162916,8.27966,5.60542
-3.9104,8.27565,-4.02769
5.60998,8.27165,0.328457
-4.36327,8.26765,3.55074
0.819368,8.26365,-5.57142
3.16227,8.25965,4.66671
-5.48986,8.25565,-1.30603
4.93554,8.25165,-2.74786
-1.78468,8.24765,5.36574
-2.31061,8.24365,-5.16753
5.19987,8.23965,2.25158
-5.36075,8.23565,1.85379
2.70309,8.23165,-4.99333
1.38084,8.22764,5.51354
-4.74755,8.22364,-3.13567
5.62457,8.21964,-0.895343
-3.54591,8.21564,4.46428
-0.400991,8.21164,-5.69281
4.14553,8.20764,3.93054
-5.71757,8.20364,-0.0984429
4.28652,8.19964,-3.79364
-0.599129,8.19564,5.69847
-3.41116,8.19164,-4.61097
5.63549,8.18764,1.09721
-4.90127,8.18364,3.00094
1.58885,8.17964,-5.52894
2.56602,8.17564,5.15505
-5.37946,8.17163,-2.07022
5.3702,8.16763,-2.10966
-2.53757,8.16363,5.18805
-1.63529,8.15963,-5.54493
4.95601,8.15563,2.98726
-5.67772,8.15163,1.14648
3.41574,8.14763,-4.68496
0.646968,8.14363,5.76739
-4.37686,8.13963,-3.81963
5.81307,8.13563,-0.140542
-4.19572,8.13163,4.03393
0.368918,8.12763,-5.81426
3.65867,8.12362,4.54102
-5.77076,8.11962,-0.877499
4.85274,8.11562,-3.25385
-1.38128,8.11162,5.68275
-2.82249,8.10762,-5.12835
5.55073,8.10362,1.87636
-5.3656,8.09962,2.3678
2.35889,8.09562,-5.37555
1.8932,8.09162,5.56251
-5.15841,8.08762,-2.82512
5.71741,8.08362,-1.40226
-3.27138,8.07962,4.9008
-0.898712,8.07561,-5.82896
4.60458,8.07161,3.69417
-5.89613,8.06761,0.386384
4.09014,8.06361,-4.27188
-0.130812,8.05961,5.91824
-3.90511,8.05561,-4.45614
5.89495,8.05161,0.648909
-4.78925,8.04761,3.507
1.16392,8.04361,-5.82629
3.08048,8.03961,5.08678
-5.7126,8.03561,-1.67187
5.34631,8.03161,-2.62873
-2.16883,8.02761,5.55461
-2.15515,8.0236,-5.56571
5.35337,8.0196,2.65091
-5.74313,8.0156,1.66329
3.11437,8.0116,-5.11028
1.1569,8.0076,5.87707
-4.82705,8.0036,-3.55556
5.96633,7.9996,-0.639796
-3.97101,7.9956,4.50572
-0.11594,7.9916,-6.01007
4.14863,7.9876,4.35742
-6.00779,7.9836,-0.410665
4.71173,7.9796,-3.75841
-0.935974,7.97559,5.95935
-3.33794,7.97159,-5.03109
5.86496,7.96759,1.45594
-5.31291,7.96359,2.89035
1.96653,7.95959,-5.72518
2.419,7.95559,5.55491
-5.54093,7.95159,-2.4638
5.75484,7.94759,-1.92813
-2.94387,7.94359,5.31348
-1.42007,7.93959,-5.91154
5.04442,7.93559,3.40298
-6.02338,7.93159,0.899347
3.83752,7.92759,-4.7357
0.369934,7.92358,6.08933
-4.38954,7.91958,-4.24407
6.10873,7.91558,0.164127
-4.61941,7.91158,4.00848
0.698743,7.90758,-6.08128
3.59534,7.90358,4.96054
-6.00702,7.89958,-1.2298
5.26472,7.89558,-3.15319
-1.7532,7.89158,5.88636
-2.68533,7.88758,-5.52948
5.7201,7.88358,2.26489
-5.75265,7.87958,2.19529
2.76089,7.87558,-5.50934
1.68675,7.87157,5.93239
-5.25557,7.86757,-3.23733
6.06715,7.86357,-1.16357
-3.69049,7.85957,4.96059
-0.629718,7.85557,-6.15577
4.62654,7.85157,4.11679
